,HMV23/000059/0923/1,HMV23/000059/0923/2,HMV23/000059/0923/3,HMV23/000059/0923/4,HMV23/000059/0923/5,HMV23/000059/0923/6,HMV23/000059/0923/7,HMV23/000059/0923/8,HMV23/000059/0923/9,HMV23/000059/0923/10,HMV23/000059/0923/11,HMV23/000059/0923/12,HMV23/000059/0923/13,HMV23/000059/0923/14,HMV23/000059/0923/15,HMV23/000059/0923/16,HMV23/000059/0923/17,HMV23/000059/0923/18,HMV23/000059/0923/19,HMV23/000059/0923/20,HMV23/000059/0923/21,HMV23/000055/0923/1,HMV23/000055/0923/2,HMV23/000055/0923/3,HMV23/000055/0923/4,HMV23/000055/0923/5,HMV23/000055/0923/6,HMV23/000055/0923/7,HMV23/000055/0923/8,HMV23/000055/0923/9,HMV23/000055/0923/10,HMV23/000055/0923/11,HMV23/000055/0923/12,HMV23/000055/0923/13,HMV23/000055/0923/14,HMV23/000055/0923/15,HMV23/000055/0923/16,HMV23/000055/0923/17,HMV23/000055/0923/18,HMV23/000055/0923/19,HMV23/000055/0923/20,HMV23/000055/0923/21,HMV23/000055/0923/22,HMV23/000055/0923/23,HMV23/000055/0923/24,HMV23/000055/0923/25,HMV23/000055/0923/26,HMV23/000043/0823/1,HMV23/000043/0823/2,HMV23/000043/0823/3,HMV23/000043/0823/4,HMV23/000043/0823/5,HMV23/000043/0823/6,HMV23/000043/0823/7,HMV23/000043/0823/8,HMV23/000043/0823/9,HMV23/000043/0823/10,HMV23/000043/0823/11,HMV23/000043/0823/12,HMV23/000043/0823/13,HMV23/000043/0823/14,HMV23/000043/0823/15
HMV23/000055/0923/16,0.11105485396996545,0.06072575403388422,0.09493329028863262,0.10605550601714855,0.09764469951889557,0.05037468947226894,0.09442675954478254,0.060123023116736354,0.0523997097843104,0.08100716246680914,0.10075774628680155,0.021362096416211653,0.15123645010999595,0.1325889187750271,0.18032773983468758,0.021501447351964457,0.11529243974700065,0.010699275221504604,0.016983345523998737,0.06191100567966892,0.15702835428076042,0.060542420591297205,0.11335402362118786,0.09340768707984715,0.2393785925979786,0.08464552640603291,0.10992802701101811,0.04025310899668757,0.07738193087415032,0.05633404111166384,0.17116787780810935,0.04907545711876815,0.08509877912010712,0.021026637787880914,0.041450603437945766,0.11038896991431128,1.0000000000000002,0.056689218238441995,0.0989375253849285,0.06619257225341461,0.06491222614167859,0.08592870810193415,0.0802877340940364,0.014084817830687026,0.018649245120371572,0.10928865159287657,0.11273563647509977,0.19805361704969987,0.14846657249240539,0.06210254726698319,0.021860736604613726,0.06297678592099082,0.034839184590121704,0.07388341649096017,0.04606816783049118,0.06021816638993199,0.09737196833913596,0.1218664482310749,0.11602373307479966,0.18284502564432817,0.10458823237332192,0.014334192434014535
HMV23/000055/0923/17,0.072831066047153,0.047442139033486555,0.840257668734588,0.158377471034334,0.06426450594789049,0.025184966276619425,0.031567085151213446,0.032926710647165444,0.029824489225737008,0.024241050995044908,0.10621674345261611,0.010037934862292028,0.07782388829221153,0.04514800668446269,0.04450338927000459,0.20113035898318588,0.053301128482525294,0.0022815789366313374,0.01035647271133595,0.025868560053308322,0.035109265187244054,0.042689100461059004,0.09187952358747037,0.03321837268568313,0.023710527324148356,0.05712549801570538,0.06814312007028794,0.04939050756211658,0.05358673043511304,0.04936352771534454,0.051117699992671954,0.025299610544521255,0.02844871961824255,0.01090297827854235,0.022716978959000326,0.11808619449812591,0.056689218238441995,1.0000000000000004,0.061336046701392484,0.04310023021909973,0.04226655341372214,0.17075815719802553,0.024025765095124493,0.21029242963117722,0.008763180546603171,0.05052550256562163,0.011265844995634882,0.06687326734996972,0.019078533359454353,0.015454915420662881,0.048947961373238036,0.01081574256064522,0.07815085557445861,0.06011087655809621,0.08853530237489604,0.10716186518938184,0.0646674216507839,0.11649923787339994,0.07041134202906803,0.2554061949085422,0.04236360788470257,0.0012289941003376863
HMV23/000055/0923/18,0.13280816098160633,0.07739062432044172,0.05964420208603993,0.08054478638233964,0.08251145459989731,0.08406231451492308,0.09358806944447953,0.09250797330436451,0.08441661053490636,0.12085986864494767,0.12447758552907351,0.07944325479051148,0.14537134993158635,0.0669090473005397,0.04849212676399013,0.04908703100341252,0.11134254383190587,0.016831302058210876,0.0167705913501598,0.03171124351649083,0.08674647291532836,0.049708080918916736,0.1383759317315434,0.08663810919785003,0.06269490549242349,0.07349624428399883,0.08459676533343195,0.031030105280358874,0.04452079591414227,0.031179366895792565,0.066106103870282,0.11261265205527077,0.08434293931431505,0.06560427451282702,0.0731400784132233,0.13454591658473014,0.0989375253849285,0.061336046701392484,1.0000000000000002,0.019685566418725067,0.023008122784110473,0.07539934041468739,0.11978650653738851,0.048358097914656124,0.0693544632924712,0.1055444442585518,0.06898252844343716,0.0699041435135537,0.0839172580549655,0.07498398112306887,0.031429859689364355,0.028297565777974945,0.07669552557305043,0.09214814798944752,0.13065334431489778,0.07859984887109114,0.06059570311584457,0.11696028857831808,0.08304327908716663,0.08095500171939607,0.06132725154558444,0.005375018415809233
HMV23/000055/0923/19,0.08105570112646272,0.058993785972279535,0.029404848101462766,0.05165362994223213,0.09523418895140566,0.02246419604239186,0.03396538396464506,0.027623620248072352,0.03340384260168313,0.023654200747383166,0.03593214183311381,0.01912035410532329,0.039063033431389116,0.10452088202843278,0.08242348653482656,0.050224166381182156,0.036188223105478444,0.0077426969218133135,0.044575757069471825,0.12270094424368808,0.07561551053866636,0.25972215163821843,0.07253605986507528,0.052470200384068716,0.07530259151227073,0.04892885710358928,0.10136007278455786,0.3997048372072355,0.3052925391262892,0.3754353047332674,0.08155068551060038,0.027221740055641944,0.030610101645669206,0.01788789839096235,0.030197681132454933,0.0386344618436836,0.06619257225341461,0.04310023021909973,0.019685566418725067,0.9999999999999998,0.836814853881445,0.0512448584107353,0.023444126691772316,0.036661190299427264,0.01669218992139128,0.034303741992265456,0.047209174991071905,0.09352229872508078,0.09136204969888435,0.03699445023359299,0.0367055530607128,0.0284510289204867,0.19296758827058835,0.17585279022596376,0.0767511159842721,0.11947457031656682,0.09130153446049885,0.1431359742000098,0.09192795231177664,0.11281539306733321,0.023322637825343114,0.010515242318454
HMV23/000055/0923/20,0.07491578041063006,0.06111468173333716,0.028836077593666794,0.05065450689863148,0.08936689643823556,0.02612980025440987,0.03579276135081672,0.03191329910675383,0.03559134934657486,0.023196663550653772,0.035237115540643335,0.024043102993552244,0.03830744709800088,0.10249916115636894,0.08082918997090738,0.05898470626925302,0.0417224207085916,0.00759293190195215,0.0437135395230213,0.12032757104605347,0.07415289892516888,0.25827243374622144,0.07113301328375574,0.05145528262582605,0.07384603261201726,0.04798243864889573,0.09939949064283132,0.3707630598362827,0.30258839789607683,0.4090470950524576,0.07997327131519542,0.028686301511555504,0.032256960918449304,0.024957276366484312,0.03318926871643289,0.037887165261656267,0.06491222614167859,0.04226655341372214,0.023008122784110473,0.836814853881445,1.0,0.050253642131037654,0.02299065290414037,0.04828877458388971,0.020989780798892764,0.03954974940628152,0.04905777194297117,0.091713320656139,0.09248423882784639,0.04066294356014749,0.04228116716969261,0.03210333282953629,0.19403855142754942,0.17618336958924186,0.0806475299153435,0.11716360405028371,0.0895355120706377,0.10106473898040369,0.09014981328053259,0.1106332335751059,0.022871513965995512,0.010311848657230928
HMV23/000055/0923/21,0.10802978374761746,0.23151630533996773,0.09419917510809536,0.6751960281840159,0.10056957830703851,0.08974887508303775,0.09221522264940896,0.10994615282275105,0.11243469121997701,0.08753284229041028,0.11021042008388948,0.021650962304571753,0.1280529214630955,0.1169776397113388,0.3614919207699878,0.20120472312771026,0.09688375147612129,0.010311263983743123,0.03137903664392985,0.10309092755706972,0.11061546566677884,0.05299539258098236,0.1121423566777259,0.1583748813693131,0.13955524936766783,0.2701281432413898,0.12325964447396864,0.04476433875742186,0.07023638901838203,0.04884100160818919,0.34045864661587755,0.08575555005392227,0.08310570966942765,0.042861836930300684,0.062185083583657035,0.11949107081017413,0.08592870810193415,0.17075815719802553,0.07539934041468739,0.0512448584107353,0.050253642131037654,1.0000000000000002,0.08675545905199648,0.1940176609673821,0.01890142686573871,0.09183858528208586,0.050146135711630783,0.32925709528905067,0.04466563515137579,0.07387953689696868,0.07675844892044889,0.027514305198227312,0.012841415020352482,0.07210666903747062,0.05210782129765283,0.0487777356247502,0.11352613094231218,0.1989558166063752,0.12413470820127606,0.12162237154697088,0.09299102393169376,0.027267039545782693
HMV23/000055/0923/22,0.11341859234833326,0.13568663721417681,0.05090841916427926,0.09492323126151492,0.10799885889890085,0.24254428228047378,0.11561641786837418,0.3071585577113074,0.27993720233547564,0.9063809463591136,0.11635382000344101,0.036794985438166714,0.16818230266623244,0.0605035773758377,0.06285982840877437,0.08537287011533984,0.18073244678096018,0.00906036829726663,0.015080206167513842,0.05947492959916974,0.07884909008278389,0.05490920737057802,0.10692726110393937,0.06685191112630862,0.08873348669813266,0.12081463259456528,0.1036955060909805,0.050550469205675505,0.049179159001137604,0.05432498250871642,0.0722554901463785,0.09266140128589147,0.10419520964470519,0.18244951916203075,0.2575999682083885,0.12590544016409308,0.0802877340940364,0.024025765095124493,0.11978650653738851,0.023444126691772316,0.02299065290414037,0.08675545905199648,1.0,0.10661815718365833,0.03212225472946179,0.17132090752105295,0.055250152108398384,0.1177925566296599,0.018565563854579165,0.13322600118705707,0.02371047735261153,0.056161830205570404,0.005380634769252013,0.053303845520553575,0.016240494578932608,0.013863013015894541,0.05659566050521912,0.11210414152033199,0.10179130157586769,0.07865386445265708,0.05410620935430821,0.004880453183297658
HMV23/000055/0923/23,0.12888000659837598,0.042336111584198734,0.07802281851453048,0.15078864381125986,0.11716818077924444,0.07333906637358764,0.053684480363310055,0.059311693788040805,0.06446604036418857,0.10757352263513349,0.02140413574128274,0.004628906561413042,0.05177964911454262,0.015441739955130745,0.07588951447854486,0.931608905300797,0.04314634841049235,0.010905781895704429,0.00632012153005948,0.03204952666942108,0.032002844002948914,0.03106053464118787,0.09850798082133388,0.023795370070999723,0.022992043776568837,0.05571219546992278,0.07586569942716583,0.020933358407511662,0.03685846790482292,0.027462445995268692,0.03197797328430262,0.04635447502050254,0.04838124021875828,0.0342222369341832,0.06161235747817323,0.023175725300481488,0.014084817830687026,0.21029242963117722,0.048358097914656124,0.036661190299427264,0.04828877458388971,0.1940176609673821,0.10661815718365833,1.0,0.004041064669925176,0.043425130675528785,0.024443836050082893,0.08475998889964874,0.09051171256496646,0.08820606079447402,0.2986700429155296,0.0324119326223506,0.07244198350804801,0.05504006940584617,0.08351499005868754,0.10810285684041043,0.06207779254461096,0.11635685058152663,0.07447254544357225,0.05297799725469533,0.014342286880651178,0.009310109147981934
HMV23/000055/0923/24,0.04843310694692032,0.018193240041453927,0.010560267204428212,0.02255926408276037,0.03907066530725991,0.06543082543746406,0.03211596341985198,0.04464199254717806,0.036373879940750545,0.03241009024643804,0.030631184435535315,0.9638265726221139,0.0448710329800093,0.030088903903417504,0.006768522003089958,0.006375717198233099,0.03783068469447415,0.02097126887916353,0.029081580537909022,0.0022587324458905518,0.016851053649351584,0.04069057162076938,0.04423006566080032,0.03034172390879307,0.024446699936163337,0.02131050246679305,0.04289326216516188,0.014822453667948023,0.025573720520886252,0.012098394837992977,0.00829573054633394,0.025739511991436197,0.028943376755391742,0.07128047556096653,0.04340114969282742,0.03112637340797192,0.018649245120371572,0.008763180546603171,0.0693544632924712,0.01669218992139128,0.020989780798892764,0.01890142686573871,0.03212225472946179,0.004041064669925176,1.0,0.03586067332920599,0.06098804010060282,0.01635934954466705,0.027557056863917156,0.019496926179424685,0.008520501513040946,0.0177112542351866,0.05167271033797452,0.028247613768460935,0.020479439684685977,0.015598419356648584,0.018381065078575124,0.021636927930262877,0.04210559501774319,0.027733482989493644,0.01727505482297445,0.0100287056209038
HMV23/000055/0923/25,0.21903884472269194,0.09534307021058239,0.17079490354603838,0.1549806122903416,0.1396987804727105,0.10509878965168323,0.1098970091472252,0.12098463470159815,0.14752981871884335,0.1728560501316971,0.11514815037929393,0.04107722088825786,0.13395094235107669,0.07894555839602448,0.1118019120029933,0.05074303949241181,0.9634707007164023,0.018893894923896225,0.09925958818811212,0.05768690349747186,0.10608286682012132,0.07193726199924928,0.2143495439454853,0.0604143522195599,0.09276570271398646,0.08325488176015945,0.20787107244982153,0.05752612079551661,0.07748988400340596,0.06435562795653248,0.11540651706703134,0.0814403746751231,0.09904079471185084,0.0889484739276408,0.12061967658509555,0.1251753287497181,0.10928865159287657,0.05052550256562163,0.1055444442585518,0.034303741992265456,0.03954974940628152,0.09183858528208586,0.17132090752105295,0.043425130675528785,0.03586067332920599,1.0000000000000002,0.05275470532581595,0.16189236108334304,0.1060526301393488,0.04278725857269838,0.2882901479557414,0.03442076204630694,0.017573297026325922,0.06303404006066532,0.032553460476871264,0.03893189734876404,0.08073723500480273,0.12946156028629813,0.2040538478694911,0.2174519672924387,0.10770457054141727,0.014099524868922263
HMV23/000055/0923/26,0.09382881864582418,0.05052109463253067,0.04822866477511084,0.060330426372755555,0.06099054904638512,0.10159562129989072,0.07067505050894812,0.11476281738739563,0.12460412151608508,0.055745228068323174,0.04106215528021326,0.0698597924181771,0.043671855282879306,0.06894205201050127,0.06805719302942581,0.020297125706953252,0.05565279282431779,0.016399191321315384,0.015125475863656791,0.03321167345774991,0.06665381475177434,0.036639719644205204,0.07398350639289819,0.04711428803913448,0.10697101222089439,0.044980743086779976,0.07174743894673861,0.028042756917082412,0.03113841973177775,0.02497495362279118,0.07129406718212458,0.05664290017673751,0.06369339095779349,0.09949738616919564,0.11788789531134913,0.04220097272646693,0.11273563647509977,0.011265844995634882,0.06898252844343716,0.047209174991071905,0.04905777194297117,0.050146135711630783,0.055250152108398384,0.024443836050082893,0.06098804010060282,0.05275470532581595,1.0,0.11024228974311598,0.09517273045612541,0.0876605553429735,0.06388909239953734,0.06895642686647462,0.05000292794800275,0.03257739409720116,0.01855650182754259,0.031238530446427302,0.04583089990555647,0.0633893652511737,0.09322736866072298,0.061898521952045,0.02622601160109051,0.02000732831501586
HMV23/000043/0823/1,0.14048309826259217,0.11509765963494133,0.12232315699089222,0.30454070132057676,0.12335330252235809,0.07344647445535801,0.07111390137390013,0.06946485829260297,0.09366391545818772,0.11884805169745645,0.06314449273599293,0.018739096409749093,0.09553997126866058,0.16202470755250856,0.180334567423975,0.08511642996945878,0.15397978675135715,0.016256680772684592,0.022515800809517227,0.09571201468281036,0.15960463280728768,0.14044851067574543,0.10510996974065741,0.10344723274365529,0.22367070101525285,0.11026292374330168,0.11952203837597217,0.12940996199913118,0.16154959426023596,0.13660889854981925,0.17758858395941163,0.056994619567908,0.06408888978676162,0.037075231428564295,0.06301718944552101,0.06547630173605792,0.19805361704969987,0.06687326734996972,0.0699041435135537,0.09352229872508078,0.091713320656139,0.32925709528905067,0.1177925566296599,0.08475998889964874,0.01635934954466705,0.16189236108334304,0.11024228974311598,1.0000000000000002,0.1316104544677368,0.08794740685296563,0.2066750170446257,0.044250087683835065,0.04391927252338651,0.08652829236461626,0.05817282862689562,0.07956518028526365,0.11451336540689037,0.15715959660766812,0.11932090487776112,0.1552752546266056,0.07081286004781612,0.026367314196843898
HMV23/000043/0823/2,0.04671331857554538,0.03404202012658994,0.03544167070371646,0.0443423936314946,0.04023051380090283,0.10339665912789449,0.1603839498388312,0.12165122035516593,0.15680488773869766,0.018731922932266727,0.022575397103901364,0.031565701553838366,0.023098147139005657,0.11347728606198676,0.10573186436424649,0.0520115992167887,0.11187864697883027,0.08624533038816393,0.017194405282842176,0.05553231852908539,0.11529710719372391,0.08272941743314466,0.04622166214600959,0.06136890948555612,0.11096709905257603,0.030472691348968278,0.04482466490877133,0.04617342525847018,0.07717618889768084,0.044032788702032026,0.07674109661221218,0.16133921887313435,0.159554099491814,0.025665623634143233,0.1457222002064538,0.025353177072010208,0.14846657249240539,0.019078533359454353,0.0839172580549655,0.09136204969888435,0.09248423882784639,0.04466563515137579,0.018565563854579165,0.09051171256496646,0.027557056863917156,0.1060526301393488,0.09517273045612541,0.1316104544677368,1.0,0.20117056060991473,0.150388359250724,0.16494502661113006,0.12237231517149114,0.07418575979050929,0.0578459326808132,0.07594474290389482,0.06877027360288433,0.054261495231055806,0.04400153059441818,0.09641459047369588,0.03188839587714791,0.0166982799677465
